"student_id","minutes_watched","paid_in_q2"
"6","134.17","1"
"31","348.40","1"
"182","4037.73","1"
"235","624.43","1"
"616","232.03","1"
"618","476.30","1"
"699","444.70","1"
"702","3.20","1"
"838","696.57","1"
"841","649.50","1"
"862","333.47","1"
"908","1.83","1"
"911","78.70","1"
"917","11.33","1"
"969","1169.20","1"
"988","289.57","1"
"999","768.43","1"
"1016","40.30","1"
"1019","113.00","1"
"1036","443.23","1"
"1046","2812.77","1"
"1064","133.70","1"
"1085","165.93","1"
"1102","542.60","1"
"1151","412.47","1"
"1159","61.57","1"
"1183","93.63","1"
"1188","26.03","1"
"1200","658.80","1"
"1201","15.33","1"
"1210","8.80","1"
"1215","6.07","1"
"1221","454.60","1"
"1235","71.97","1"
"1246","1057.13","1"
"1271","6.10","1"
"1285","128.10","1"
"1306","1471.37","1"
"1308","0.70","1"
"1317","42.53","1"
"1355","36.13","1"
"1362","27.03","1"
"1382","0.67","1"
"1404","59.47","1"
"1419","127.03","1"
"1426","35.57","1"
"1434","47.33","1"
"1436","0.47","1"
"1468","177.27","1"
"1517","140.70","1"
"1521","1553.83","1"
"1522","251.77","1"
"1530","9.47","1"
"1537","39.63","1"
"1538","3.40","1"
"1539","1.77","1"
"1540","1351.20","1"
"1543","18.57","1"
"1563","10.53","1"
"1567","730.73","1"
"1581","571.90","1"
"1605","50.00","1"
"1619","2981.47","1"
"1641","3.73","1"
"1652","2065.73","1"
"1661","10.37","1"
"1669","104.77","1"
"1678","185.83","1"
"1742","529.77","1"
"1753","111.53","1"
"1754","1032.37","1"
"1778","794.73","1"
"1780","1.30","1"
"1794","231.03","1"
"1802","0.10","1"
"1852","436.47","1"
"1863","76.33","1"
"1864","602.43","1"
"1880","1438.07","1"
"1883","5.33","1"
"1909","476.70","1"
"1914","41.00","1"
"1923","1.10","1"
"1950","34.03","1"
"1977","1496.23","1"
"2003","1871.33","1"
"2014","229.33","1"
"2018","323.40","1"
"2019","1.07","1"
"2055","40.23","1"
"2060","45.00","1"
"2070","256.77","1"
"2073","935.07","1"
"2084","178.80","1"
"2091","794.07","1"
"2110","8.63","1"
"2112","1752.33","1"
"2114","156.37","1"
"2195","58.60","1"
"2217","23.13","1"
"2218","101.27","1"
"2222","4.90","1"
"2236","18.23","1"
"2248","764.50","1"
"2255","488.33","1"
"2258","15.70","1"
"2274","7.43","1"
"2284","4.43","1"
"2292","87.37","1"
"2295","80.03","1"
"2324","17.17","1"
"2359","0.30","1"
"2377","72.20","1"
"2385","21.17","1"
"2398","737.07","1"
"2409","114.70","1"
"2417","26.27","1"
"2431","1.70","1"
