"student_id","minutes_watched","paid_in_q2"
"11345","0.73","0"
"11404","192.33","0"
"11484","25.37","0"
"11528","11.30","0"
"11586","115.63","0"
"11598","0.27","0"
"11813","0.90","0"
"11826","7.33","0"
"11829","114.90","0"
"11835","1.47","0"
"11887","143.83","0"
"11934","76.63","0"
"11991","9.83","0"
"12011","0.43","0"
"12032","0.17","0"
"12122","5.37","0"
"12128","1.07","0"
"12205","8.57","0"
"12237","14.20","0"
"12246","2.90","0"
"12372","0.63","0"
"12382","0.43","0"
"12432","0.33","0"
"12446","25.80","0"
"12544","10.10","0"
"12634","27.47","0"
"12668","2.53","0"
"12701","0.20","0"
"12741","22.33","0"
"12745","2.53","0"
"12780","0.10","0"
"12807","37.53","0"
"12891","0.10","0"
"12898","175.50","0"
"12946","66.30","0"
"12996","0.33","0"
"13008","9.80","0"
"13090","51.13","0"
"13096","0.60","0"
"13128","13.57","0"
"13151","12.10","0"
"13211","0.30","0"
"13232","0.53","0"
"13248","0.20","0"
"13266","879.20","0"
"13307","33.50","0"
"13487","0.10","0"
"13586","2.10","0"
"13615","1.90","0"
"13621","0.30","0"
"13628","0.53","0"
"13642","0.67","0"
"13738","191.00","0"
"13752","65.70","0"
"13772","29.17","0"
"13812","2.90","0"
"13832","3.57","0"
"13870","20.37","0"
"13929","0.10","0"
"13948","3.87","0"
"14054","0.13","0"
"14198","0.50","0"
"14211","17.07","0"
"14216","470.53","0"
"14234","1.60","0"
"14283","0.17","0"
"14306","0.10","0"
"14310","178.90","0"
"14354","5.87","0"
"14369","1.33","0"
"14383","0.63","0"
"14385","136.13","0"
"14446","12.57","0"
"14512","0.20","0"
"14577","16.63","0"
"14590","4.80","0"
"14851","6.87","0"
"14874","0.13","0"
"14942","7.20","0"
"14976","18.47","0"
"15228","10.77","0"
"15250","48.93","0"
"15303","22.53","0"
"15408","0.13","0"
"15478","100.10","0"
"15481","0.23","0"
"15605","11.37","0"
"15626","0.13","0"
"15646","568.10","0"
"15705","0.37","0"
"15787","20.03","0"
"15794","0.20","0"
"15874","0.13","0"
"15889","19.83","0"
"15911","1.10","0"
"15926","0.90","0"
"15942","1.00","0"
"16165","44.63","0"
"16231","7.93","0"
"16287","2.07","0"
"16565","12.80","0"
"16611","120.13","0"
"16902","1.63","0"
"17006","0.10","0"
"17123","11.87","0"
"17126","80.63","0"
"17254","901.40","0"
"17394","0.43","0"
"17557","1.73","0"
"17632","38.83","0"
"17716","0.37","0"
"17785","0.27","0"
"17866","8.37","0"
"17881","118.47","0"
"18004","14.60","0"
"18012","0.77","0"
"18204","0.23","0"
"18311","2.63","0"
"18555","0.37","0"
"18594","0.10","0"
"18700","8.27","0"
"18710","0.17","0"
"19001","38.10","0"
"19050","323.17","0"
"19128","207.30","0"
"19256","0.33","0"
"19269","32.90","0"
"19449","47.40","0"
"19548","13.40","0"
