"student_id","minutes_watched","paid_in_q2"
"9","0.53","0"
"67","54.07","0"
"144","0.40","0"
"209","29.17","0"
"389","0.30","0"
"519","8.57","0"
"530","90.87","0"
"560","2.43","0"
"575","8.47","0"
"666","5.67","0"
"711","0.23","0"
"801","11465.17","0"
"875","93.53","0"
"1146","10.77","0"
"1314","13.67","0"
"1321","8.63","0"
"1338","3.90","0"
"1357","0.23","0"
"1373","91.83","0"
"1395","197.17","0"
"1397","55.67","0"
"1424","0.13","0"
"1425","1.10","0"
"1437","94.20","0"
"1456","0.80","0"
"1520","4.20","0"
"1559","1.40","0"
"1614","7.70","0"
"1688","22.73","0"
"1791","500.27","0"
"1845","18.90","0"
"1866","0.17","0"
"1907","9.37","0"
"2022","188.10","0"
"2147","64.63","0"
"2185","128.87","0"
"2188","23.77","0"
"2266","20.53","0"
"2629","3.10","0"
"2688","141.27","0"
"2759","0.50","0"
"2863","5.17","0"
"2938","227.17","0"
"2960","0.20","0"
"2992","27.60","0"
"3063","14.60","0"
"3074","2.23","0"
"3078","12.70","0"
"3101","0.63","0"
"3270","60.47","0"
"3297","6.77","0"
"3304","18.83","0"
"3366","1.13","0"
"3522","2.73","0"
"3774","1456.60","0"
"3985","0.23","0"
"4016","473.23","0"
"4112","95.70","0"
"4231","118.23","0"
"4298","7.53","0"
"4408","87.27","0"
"4439","0.73","0"
"4566","8.37","0"
"4685","732.23","0"
"4696","0.90","0"
"4761","8.00","0"
"4801","2.80","0"
"4819","5.50","0"
"4907","9.23","0"
"5058","2.53","0"
"5162","1.83","0"
"5221","47.30","0"
"5237","12.43","0"
"5328","0.73","0"
"5400","0.53","0"
"5472","31.77","0"
"5534","13.10","0"
"5567","0.90","0"
"5683","40.60","0"
"5704","0.20","0"
"5790","29.17","0"
"5944","13.13","0"
"5974","0.67","0"
"6002","0.60","0"
"6110","39.23","0"
"6174","11.33","0"
"6313","8.53","0"
"6426","0.37","0"
"6474","24.80","0"
"6754","111.37","0"
"6801","44.50","0"
"6882","1.43","0"
"6957","102.27","0"
"6992","1.33","0"
"7282","13.43","0"
"7296","0.20","0"
"7327","25.27","0"
"7541","190.20","0"
"7580","58.20","0"
"7815","3.90","0"
"8077","32.10","0"
"8194","2.37","0"
"8407","13.97","0"
"8442","12.53","0"
"8572","80.50","0"
"8835","514.37","0"
"9095","0.37","0"
"9101","2.03","0"
"9149","0.40","0"
"9268","2.80","0"
"9382","49.53","0"
"9399","0.57","0"
"9771","34.13","0"
"9809","0.37","0"
"9896","18.90","0"
"10218","0.17","0"
"10242","32.87","0"
"10390","2.10","0"
"10721","11.77","0"
"11504","0.90","0"
"11765","0.20","0"
"12104","0.50","0"
"12360","36.43","0"
"12383","0.57","0"
"12411","14.50","0"
"12526","0.30","0"
"12772","1.07","0"
"12820","233.40","0"
"13132","68.20","0"
"13157","19.43","0"
"13830","4.10","0"
"13979","3.13","0"
"14140","193.50","0"
"14216","185.13","0"
"14455","47.17","0"
"14672","0.17","0"
"15150","2.40","0"
"15236","4.17","0"
"15472","480.03","0"
"16158","77.60","0"
"16202","0.50","0"
"16287","10.57","0"
"16729","130.37","0"
"16744","66.37","0"
"17688","14.03","0"
"17774","34.17","0"
"17881","16.03","0"
"18075","2.10","0"
"18278","0.73","0"
"18738","43.60","0"
"18757","2.03","0"
"18811","0.63","0"
"19026","1.43","0"
"19842","87.63","0"
"20309","0.20","0"
"20529","51.83","0"
"20860","14.20","0"
"20906","86.37","0"
"20907","0.43","0"
"21562","0.80","0"
"21703","93.77","0"
"21736","2.87","0"
"21796","0.10","0"
"22651","15.33","0"
"22994","77.57","0"
"23113","40.33","0"
"23209","77.43","0"
"23287","0.93","0"
"23628","48.57","0"
"23913","158.57","0"
"23984","3.03","0"
"24206","14.17","0"
"24385","0.70","0"
"24424","21.63","0"
"25133","6.40","0"
"25233","28.90","0"
"25494","66.37","0"
"25548","5.27","0"
"27155","41.57","0"
"27560","25.63","0"
"28298","3.50","0"
"28320","0.70","0"
"28585","43.00","0"
"28960","44.63","0"
"29249","133.37","0"
"29611","30.23","0"
"29754","0.10","0"
"29987","4.30","0"
"30623","12.57","0"
"30984","0.80","0"
"31770","167.00","0"
"32675","2.73","0"
"32687","128.93","0"
"32710","0.10","0"
"32711","1.60","0"
"32713","79.40","0"
"33250","0.57","0"
"33925","10.57","0"
"34175","97.77","0"
"36005","0.80","0"
"36723","1.00","0"
"36760","0.10","0"
"37337","65.30","0"
"38021","22.27","0"
"38205","12.90","0"
"38225","19.97","0"
"38393","24.07","0"
"39366","116.27","0"
"39845","0.17","0"
"40629","83.17","0"
"42269","5.47","0"
"42622","8.53","0"
"42902","50.87","0"
"43161","41.00","0"
"43214","82.70","0"
"43540","7.53","0"
"43697","173.93","0"
"43934","1.60","0"
"44291","49.17","0"
"44316","72.67","0"
"44744","0.23","0"
"45910","4.27","0"
"46433","63.93","0"
"47363","184.43","0"
"48097","12.73","0"
"48762","0.17","0"
"48884","102.57","0"
"49094","0.97","0"
"49389","51.90","0"
"49877","0.20","0"
"51100","95.43","0"
"51169","14.83","0"
"51548","94.27","0"
"51938","90.83","0"
"52209","51.20","0"
"53781","0.10","0"
"54678","7.73","0"
"57822","3.70","0"
"58606","0.90","0"
"59019","5.13","0"
"59227","8.07","0"
"59292","5.87","0"
"59340","2.27","0"
"59945","0.33","0"
"60297","83.17","0"
"60997","12.10","0"
"61784","11.90","0"
"62938","0.53","0"
"63354","0.30","0"
"65156","154.03","0"
"65418","0.47","0"
"65658","4.43","0"
"66103","183.53","0"
"67153","2.87","0"
"68087","63.17","0"
"69207","27.80","0"
"70008","66.70","0"
"70129","10.07","0"
"70445","7.43","0"
"70795","7.73","0"
"71790","35.50","0"
"71975","0.57","0"
"72128","0.30","0"
"72802","8.30","0"
"72954","23.87","0"
"72965","92.93","0"
"74690","9.70","0"
"75023","68.70","0"
"75606","0.37","0"
"75640","4.20","0"
"75683","0.10","0"
"75705","0.77","0"
"75823","50.27","0"
"75971","1.20","0"
"76350","67.10","0"
"76425","12.07","0"
"76930","96.50","0"
"77615","0.70","0"
"78111","7.20","0"
"78575","8.60","0"
"78808","83.43","0"
"79029","71.50","0"
"79144","2.40","0"
"81693","48.03","0"
"81980","29.50","0"
"82714","3.70","0"
"85157","0.10","0"
"87130","1.53","0"
"88120","15.43","0"
"88147","2.33","0"
"88618","98.10","0"
"88979","32.20","0"
"89102","0.20","0"
"89292","9.17","0"
"89658","0.53","0"
"90247","11.67","0"
"90920","279.30","0"
"93890","118.53","0"
"93897","60.37","0"
"94261","22.57","0"
"94658","0.17","0"
"94930","0.83","0"
"96207","2.90","0"
"97910","96.10","0"
"99728","0.77","0"
"101532","3.17","0"
"103060","10.30","0"
"104682","22.20","0"
"105231","27.17","0"
"105834","10.40","0"
"109146","87.57","0"
"109342","0.63","0"
"112441","106.17","0"
"112965","1.03","0"
"114289","31.60","0"
"115040","57.20","0"
"115218","3.07","0"
"115963","19.73","0"
"119516","3.03","0"
"120117","4.87","0"
"120239","19.93","0"
"120579","3.17","0"
"120982","5.50","0"
"121337","10.87","0"
"121828","5.57","0"
"122442","10.20","0"
"123015","81.50","0"
"123128","42.27","0"
"123311","19.03","0"
"123523","1.23","0"
"123684","21.17","0"
"123905","83.87","0"
"125111","1.93","0"
"125293","19.70","0"
"125372","6.80","0"
"126016","82.53","0"
"126290","0.70","0"
"126406","1.43","0"
"134726","7.90","0"
"135752","2.50","0"
"135762","0.10","0"
"135768","1.60","0"
"135973","30.00","0"
"137387","32.50","0"
"138858","0.70","0"
"138927","0.50","0"
"139043","0.60","0"
"139592","193.33","0"
"139776","22.93","0"
"139788","2.60","0"
"139832","0.17","0"
"140195","5.07","0"
"140500","68.50","0"
"140715","27.67","0"
"141686","1.07","0"
"141711","33.33","0"
"142411","44.33","0"
"142447","5.93","0"
"142790","6.43","0"
"143417","6.97","0"
"143621","71.70","0"
"143935","72.20","0"
"143965","8.97","0"
"143992","4.60","0"
"144032","182.93","0"
"144279","31.83","0"
"144406","2.30","0"
"144664","0.67","0"
"145091","1018.57","0"
"145161","9.83","0"
"145434","1.57","0"
"145767","169.77","0"
"145863","33.13","0"
"146021","1.60","0"
"146224","88.90","0"
"146397","1.73","0"
"146405","2.03","0"
"146891","161.63","0"
"146908","75.27","0"
"146925","26.63","0"
"146993","0.57","0"
"147045","218.37","0"
"147062","0.43","0"
"147087","1744.87","0"
"147197","30.63","0"
"147204","16.00","0"
"147330","7.60","0"
"147378","57.77","0"
"147604","922.43","0"
"147643","12.57","0"
"147656","6.07","0"
"147665","5.37","0"
"147732","0.13","0"
"147939","89.83","0"
"148089","3.47","0"
"148298","4.20","0"
"148786","0.77","0"
"148792","4.13","0"
"149130","1.00","0"
"149218","18.37","0"
"149235","0.70","0"
"149580","7.97","0"
"149620","1.30","0"
"149753","14.90","0"
"149767","1.13","0"
"149800","0.23","0"
"149999","24.67","0"
"150418","2.87","0"
"150652","0.17","0"
"150834","3.73","0"
"150839","40.23","0"
"151077","0.73","0"
"151163","5.07","0"
"152395","22.87","0"
"152716","1.13","0"
"152918","0.67","0"
"152949","8.93","0"
"152989","0.23","0"
"153685","20.93","0"
"153717","0.43","0"
"153819","0.27","0"
"153860","2.43","0"
"154068","12.40","0"
"154100","35.67","0"
"154339","0.13","0"
"154664","41.60","0"
"155080","10.57","0"
"155094","9.83","0"
"155463","2.43","0"
"155554","0.10","0"
"155712","131.73","0"
"155925","4.03","0"
"156111","1.67","0"
"156212","10.17","0"
"156221","3.57","0"
"156282","12.30","0"
"156291","1.00","0"
"156580","37.73","0"
"156933","83.47","0"
"157086","41.73","0"
"157558","22.33","0"
"157603","203.10","0"
"157897","0.10","0"
"158212","16.13","0"
"158214","1.37","0"
"158230","47.27","0"
"158280","207.97","0"
"158412","0.37","0"
"158423","4.40","0"
"158541","2.20","0"
"158846","41.37","0"
"159278","0.10","0"
"159545","2.23","0"
"159802","0.57","0"
"159848","76.90","0"
"159983","5.17","0"
"159986","81.73","0"
"160008","6.10","0"
"160043","3.87","0"
"160049","31.57","0"
"160074","0.83","0"
"160795","0.53","0"
"160863","1.10","0"
"161099","4.33","0"
"161318","23.33","0"
"161373","3.43","0"
"161445","87.53","0"
"161585","1.33","0"
"161623","0.13","0"
"161660","0.17","0"
"161673","21.20","0"
"161682","1.83","0"
"161707","4.40","0"
"161934","1.70","0"
"162108","1.83","0"
"162124","75.23","0"
"162295","0.37","0"
"162357","0.67","0"
"162379","63.77","0"
"162427","20.60","0"
"162517","0.73","0"
"162549","39.77","0"
"162566","46.13","0"
"162633","2.77","0"
"162646","6.10","0"
"162703","84.30","0"
"163113","24.97","0"
"163271","11.43","0"
"163376","2.30","0"
"163461","14.30","0"
"163637","12.37","0"
"163834","0.77","0"
"163878","1.03","0"
"163909","61.47","0"
"164165","3.73","0"
"164198","5.70","0"
"164203","33.77","0"
"164227","11.10","0"
"164538","6.10","0"
"164617","6.50","0"
"164645","0.20","0"
"164663","5.97","0"
"164761","2.20","0"
"164770","32.50","0"
"164930","7.17","0"
"165174","9.47","0"
"165630","2.17","0"
"165764","1.07","0"
"165874","78.03","0"
"166089","3.00","0"
"166237","85.37","0"
"166247","13.30","0"
"166257","3.50","0"
"166282","2.80","0"
"166304","15.80","0"
"166597","2.73","0"
"166699","249.73","0"
"166837","143.77","0"
"167080","0.17","0"
"167101","218.57","0"
"167168","28.17","0"
"167685","2.07","0"
"167693","54.50","0"
"167874","0.30","0"
"168147","11.40","0"
"168266","1.77","0"
"168545","15.33","0"
"168573","136.77","0"
"168598","1.10","0"
"168684","5.90","0"
"168792","1.83","0"
"168798","5.40","0"
"168855","3.10","0"
"169124","17.43","0"
"169187","83.00","0"
"169332","40.33","0"
"169408","0.30","0"
"169681","1.10","0"
"169764","89.47","0"
"169909","47.93","0"
"170023","11.83","0"
"170068","0.50","0"
"170253","4.63","0"
"170485","1.10","0"
"170574","0.60","0"
"170794","10.03","0"
"170986","78.80","0"
"171213","6.00","0"
"171239","0.20","0"
"171274","2.13","0"
"171301","42.47","0"
"171566","30.03","0"
"171582","11.83","0"
"171735","5.63","0"
"171856","14.93","0"
"172004","13.17","0"
"172059","0.33","0"
"172080","1.00","0"
"172178","37.57","0"
"172184","52.17","0"
"172235","31.73","0"
"172246","5.63","0"
