student_id,minutes_watched,paid_in_q2
2266,162.23,1
2267,184.8,1
2274,737.57,1
2275,0.5,1
2278,1.33,1
2284,271.87,1
2290,440.93,1
2292,17.0,1
2295,24.17,1
2303,38.17,1
2304,390.7,1
2306,40.9,1
2308,3.4,1
2312,102.5,1
2318,7.17,1
2324,4139.67,1
2332,68.27,1
2335,72.77,1
2338,84.7,1
2339,364.53,1
2340,300.0,1
2351,37.5,1
2354,3697.33,1
2359,52.17,1
2362,250.17,1
2364,794.87,1
2375,119.6,1
2377,123.83,1
2385,735.23,1
2397,1425.27,1
2398,0.83,1
2403,4.73,1
2406,72.0,1
2409,3297.9,1
2410,925.37,1
2414,439.63,1
2417,94.47,1
2429,32.23,1
2431,25.17,1
2437,144.43,1
2441,376.0,1
2447,1148.57,1
2463,13.97,1
2477,108.97,1
2501,290.1,1
2506,23.0,1
2516,144.8,1
2529,169.33,1
2536,1810.77,1
2544,62.8,1
2546,191.73,1
2550,19.23,1
2555,211.6,1
2575,155.7,1
2577,6.9,1
2591,3348.53,1
2617,316.73,1
2620,147.07,1
2621,442.23,1
2629,432.13,1
2630,180.1,1
2636,2975.13,1
2641,9.2,1
2642,297.43,1
2650,60.4,1
2651,115.83,1
2653,1338.8,1
2655,324.0,1
2657,56.33,1
2661,10.37,1
2663,203.83,1
2671,20.77,1
2685,16.23,1
2688,826.33,1
2692,189.5,1
2698,84.33,1
2706,1836.37,1
2708,0.33,1
2710,34.3,1
2719,98.4,1
2723,229.57,1
2725,53.8,1
2726,13.17,1
2731,79.67,1
2738,0.57,1
2741,4.5,1
2743,22.47,1
2750,29.97,1
2754,1802.57,1
2761,0.6,1
2764,73.1,1
2772,2545.57,1
2774,1115.9,1
2793,158.57,1
2797,79.17,1
2803,364.77,1
2805,497.23,1
2811,5234.47,1
2813,34.7,1
2815,621.13,1
2819,54.1,1
2820,0.63,1
2821,702.5,1
2824,43.93,1
2825,2.33,1
2826,24.43,1
2827,3307.13,1
2830,2508.2,1
2831,80.37,1
2833,5.27,1
2839,581.93,1
2840,2.23,1
2843,39.27,1
2851,1004.17,1
2859,1597.0,1
2866,3261.17,1
2877,1037.03,1
2887,1133.0,1
2894,1.5,1
2899,4060.2,1
2911,8.1,1
2917,2090.8,1
2918,1202.43,1
2920,22.8,1
2922,866.63,1
2928,4.07,1
2929,1278.07,1
2930,531.6,1
2933,91.9,1
2938,2662.4,1
2943,571.03,1
2950,0.27,1
2954,632.0,1
